,date,result,teams,score,formation
3,"Sep 10, 2016 ",L,"[Barcelona , Alavés]",1 - 2,433
4,"Sep 13, 2016 ",W,"[Barcelona, Celtic ]",7 - 0,433
5,"Sep 17, 2016 ",W,"[Leganés , Barcelona]",1 - 5,3421
6,"Sep 21, 2016 ",D,"[Barcelona , Atletico Madrid ]",1 - 1,433
7,"Sep 24, 2016 ",W,"[Gijón , Barcelona]",0 - 5,433
8,"Sep 28, 2016 ",W,"[M'gladbach , Barcelona]",1 - 2,41221
9,"Oct 2, 2016 ",L,"[Celta, Barcelona ]",4 - 3,433
10,"Oct 15, 2016 ",W,"[Barcelona, Deportivo ]",4 - 0,433
11,"Oct 19, 2016 ",W,"[Barcelona, Man City ]",4 - 0,433
12,"Oct 22, 2016 ",W,"[Valencia , Barcelona]",2 - 3,433
13,"Oct 29, 2016 ",W,"[Barcelona, Granada ]",1 - 0,433
14,"Nov 1, 2016 ",L,"[Man City, Barcelona ]",3 - 1,433
15,"Nov 6, 2016 ",W,"[Sevilla FC , Barcelona]",1 - 2,433
16,"Nov 19, 2016 ",D,"[Barcelona , Málaga ]",0 - 0,433
17,"Nov 23, 2016 ",W,"[Celtic , Barcelona]",0 - 2,433
18,"Nov 27, 2016 ",D,"[Real Sociedad , Barcelona ]",1 - 1,433
19,"Nov 30, 2016 ",D,"[Hércules , Barcelona ]",1 - 1,None
20,"Dec 3, 2016 ",D,"[Barcelona , Real Madrid ]",1 - 1,433
21,"Dec 6, 2016 ",W,"[Barcelona, M'gladbach ]",4 - 0,433
22,"Dec 10, 2016 ",W,"[Osasuna , Barcelona]",0 - 3,433
23,"Dec 18, 2016 ",W,"[Barcelona, Espanyol ]",4 - 1,433
24,"Dec 21, 2016 ",W,"[Barcelona, Hércules ]",7 - 0,None
25,"Jan 5, 2017 ",L,"[Athletic, Barcelona ]",2 - 1,None
26,"Jan 8, 2017 ",D,"[ Villarreal , Barcelona ]",1 - 1,433
27,"Jan 11, 2017 ",W,"[Barcelona, Athletic ]",3 - 1,None
28,"Jan 14, 2017 ",W,"[Barcelona, Las Palmas ]",5 - 0,433
29,"Jan 19, 2017 ",W,"[Real Sociedad , Barcelona]",0 - 1,None
30,"Jan 22, 2017 ",W,"[Eibar , Barcelona]",0 - 4,433
31,"Jan 26, 2017 ",W,"[Barcelona, Real Sociedad ]",5 - 2,None
32,"Jan 29, 2017 ",D,"[Real Betis , Barcelona ]",1 - 1,433
33,"Feb 1, 2017 ",W,"[Atletico Madrid , Barcelona]",1 - 2,None
34,"Feb 4, 2017 ",W,"[Barcelona, Athletic ]",3 - 0,433
35,"Feb 7, 2017 ",D,"[Barcelona , Atletico Madrid ]",1 - 1,None
36,"Feb 11, 2017 ",W,"[Alavés , Barcelona]",0 - 6,433
37,"Feb 14, 2017 ",L,"[PSG, Barcelona ]",4 - 0,433
38,"Feb 19, 2017 ",W,"[Barcelona,  Leganés ]",2 - 1,433
39,"Feb 26, 2017 ",W,"[Atletico Madrid , Barcelona]",1 - 2,433
40,"Mar 1, 2017 ",W,"[Barcelona, Gijón ]",6 - 1,433
41,"Mar 4, 2017 ",W,"[Barcelona, Celta ]",5 - 0,433
42,"Mar 8, 2017 ",W,"[Barcelona, PSG ]",6 - 1,3421
43,"Mar 12, 2017 ",L,"[Deportivo, Barcelona ]",2 - 1,3421
44,"Mar 19, 2017 ",W,"[Barcelona, Valencia ]",4 - 2,3421
45,"Apr 2, 2017 ",W,"[Granada , Barcelona]",1 - 4,4141
46,"Apr 5, 2017 ",W,"[Barcelona, Sevilla FC ]",3 - 0,31213
47,"Apr 8, 2017 ",L,"[Málaga, Barcelona ]",2 - 0,433
48,"Apr 11, 2017 ",L,"[Juventus, Barcelona ]",3 - 0,433
49,"Apr 15, 2017 ",W,"[Barcelona, Real Sociedad ]",3 - 2,41212
50,"Apr 19, 2017 ",D,"[Barcelona , Juventus ]",0 - 0,433
51,"Apr 23, 2017 ",W,"[Real Madrid , Barcelona]",2 - 3,4312
52,"Apr 26, 2017 ",W,"[Barcelona, Osasuna ]",7 - 1,3142
53,"Apr 29, 2017 ",W,"[Espanyol , Barcelona]",0 - 3,433
54,"May 6, 2017 ",W,"[Barcelona, Villarreal ]",4 - 1,433
55,"May 14, 2017 ",W,"[Las Palmas , Barcelona]",1 - 4,433
56,"May 21, 2017 ",W,"[Barcelona, Eibar ]",4 - 2,433
57,"May 27, 2017 ",W,"[Barcelona, Alavés ]",3 - 1,None
0,"Aug 14, 2015 ",L,"[Athletic, Barcelona ]",4 - 0,None
1,"Aug 17, 2015 ",D,"[Barcelona , Athletic ]",1 - 1,None
2,"Aug 23, 2015 ",W,"[Athletic , Barcelona]",0 - 1,433
3,"Aug 29, 2015 ",W,"[Barcelona, Málaga ]",1 - 0,433
4,"Sep 12, 2015 ",W,"[Atletico Madrid , Barcelona]",1 - 2,433
5,"Sep 16, 2015 ",D,"[Roma , Barcelona ]",1 - 1,433
6,"Sep 20, 2015 ",W,"[Barcelona, Levante ]",4 - 1,433
7,"Sep 23, 2015 ",L,"[Celta, Barcelona ]",4 - 1,433
8,"Sep 26, 2015 ",W,"[Barcelona, Las Palmas ]",2 - 1,433
9,"Sep 29, 2015 ",W,"[Barcelona, Leverkusen ]",2 - 1,433
10,"Oct 3, 2015 ",L,"[Sevilla FC, Barcelona ]",2 - 1,433
11,"Oct 17, 2015 ",W,"[Barcelona, Rayo Vallecano ]",5 - 2,433
12,"Oct 20, 2015 ",W,"[BATE , Barcelona]",0 - 2,433
13,"Oct 25, 2015 ",W,"[Barcelona, Eibar ]",3 - 1,433
14,"Oct 28, 2015 ",D,"[Villanovense , Barcelona ]",0 - 0,None
15,"Oct 31, 2015 ",W,"[Getafe , Barcelona]",0 - 2,433
16,"Nov 4, 2015 ",W,"[Barcelona, BATE ]",3 - 0,41221
17," Nov 8, 2015 ",W,"[Barcelona, Villarreal ]",3 - 0,433
18,"Nov 21, 2015 ",W,"[Real Madrid , Barcelona]",0 - 4,433
19,"Nov 24, 2015 ",W,"[Barcelona, Roma ]",6 - 1,433
20,"Nov 28, 2015 ",W,"[Barcelona, Real Sociedad ]",4 - 0,433
21,"Dec 2, 2015 ",W,"[Barcelona, Villanovense ]",6 - 1,None
22,"Dec 5, 2015 ",D,"[Valencia , Barcelona ]",1 - 1,433
23,"Dec 9, 2015 ",D,"[Leverkusen , Barcelona ]",1 - 1,433
24,"Dec 12, 2015 ",D,"[Barcelona , Deportivo ]",2 - 2,433
25,"Dec 17, 2015 ",W,"[Barcelona, Guangzhou FC ]",3 - 0,None
26,"Dec 20, 2015 ",W,"[River Plate , Barcelona]",0 - 3,None
27,"Dec 30, 2015 ",W,"[Barcelona, Real Betis ]",4 - 0,433
28,"Jan 2, 2016 ",D,"[Espanyol , Barcelona ]",0 - 0,433
29,"Jan 6, 2016 ",W,"[Barcelona, Espanyol ]",4 - 1,None
30,"Jan 9, 2016 ",W,"[Barcelona, Granada ]",4 - 0,433
31,"Jan 13, 2016 ",W,"[Espanyol , Barcelona]",0 - 2,None
32,"Jan 17, 2016 ",W,"[Barcelona, Athletic ]",6 - 0,433
33,"Jan 20, 2016 ",W,"[ Athletic , Barcelona]",1 - 2,None
34,"Jan 23, 2016 ",W,"[Málaga , Barcelona]",1 - 2,433
35,"Jan 27, 2016 ",W,"[Barcelona, Athletic ]",3 - 1,None
36,"Jan 30, 2016 ",W,"[Barcelona, Atletico Madrid ]",2 - 1,433
37,"Feb 3, 2016 ",W,"[Barcelona, Valencia ]",7 - 0,None
38,"Feb 7, 2016 ",W,"[Levante , Barcelona]",0 - 2,433
39,"Feb 10, 2016 ",D,"[Valencia , Barcelona ]",1 - 1,None
40,"Feb 14, 2016 ",W,"[Barcelona, Celta ]",6 - 1,433
41,"Feb 17, 2016 ",W,"[Gijón , Barcelona]",1 - 3,433
42,"Feb 20, 2016 ",W,"[Las Palmas , Barcelona]",1 - 2,433
43,"Feb 23, 2016 ",W,"[Arsenal  , Barcelona]",0 - 2,433
44,"Feb 28, 2016 ",W,"[Barcelona, Sevilla FC ]",2 - 1,433
45,"Mar 3, 2016 ",W,"[Rayo Vallecano , Barcelona]",1 - 5,433
46,"Mar 6, 2016 ",W,"[Eibar , Barcelona]",0 - 4,433
47,"Mar 12, 2016 ",W,"[Barcelona, Getafe ]",6 - 0,433
48,"Mar 16, 2016 ",W,"[Barcelona, Arsenal ]",3 - 1,433
49,"Mar 20, 2016 ",D,"[Villarreal , Barcelona ]",2 - 2,433
50,"Apr 2, 2016 ",L,"[Barcelona , Real Madrid]",1 - 2,433
51,"Apr 5, 2016 ",W,"[Barcelona, Atletico Madrid ]",2 - 1,433
52,"Apr 9, 2016 ",L,"[Real Sociedad, Barcelona ]",1 - 0,433
53,"Apr 13, 2016 ",L,"[Atletico Madrid, Barcelona ]",2 - 0,433
54,"Apr 17, 2016 ",L,"[Barcelona , Valencia]",1 - 2,433
55,"Apr 20, 2016 ",W,"[Deportivo , Barcelona]",0 - 8,433
56,"Apr 23, 2016 ",W,"[Barcelona, Gijón ]",6 - 0,433
57,"Apr 30, 2016 ",W,"[Real Betis , Barcelona]",0 - 2,433
58,"May 8, 2016 ",W,"[Barcelona, Espanyol ]",5 - 0,433
59,"May 14, 2016 ",W,"[Granada , Barcelona]",0 - 3,433
60,"May 22, 2016 ",W,"[Barcelona, Sevilla FC ]",2 - 0,None
